State,Year,ElectoralVotes,Population
Alabama,1990,9,4040587
Alabama,2000,9,4447100
Alabama,2010,9,4500752
Alaska,1990,3,550043
Alaska,2000,3,626932
Alaska,2010,3,648818
Arizona,1990,8,3665228
Arizona,2000,10,5130632
Arizona,2010,11,5580811
Arkansas,1990,6,2350725
Arkansas,2000,6,2673400
Arkansas,2010,6,2725714
California,1990,54,29760021
California,2000,55,33871648
California,2010,55,35484453
Colorado,1990,8,3294394
Colorado,2000,9,4301261
Colorado,2010,9,4550688
Connecticut,1990,8,3287116
Connecticut,2000,7,3405565
Connecticut,2010,7,3483372
D.C.,1990,3,606900
D.C.,2000,3,572059
D.C.,2010,3,563384
Delaware,1990,3,666168
Delaware,2000,3,783600
Delaware,2010,3,817491
Florida,1990,25,12937926
Florida,2000,27,15982378
Florida,2010,29,17019068
Georgia,1990,13,6478216
Georgia,2000,15,8186453
Georgia,2010,16,8684715
Hawaii,1990,4,1108229
Hawaii,2000,4,1211537
Hawaii,2010,4,1257608
Idaho,1990,4,1006749
Idaho,2000,4,1293953
Idaho,2010,4,1366332
Illinois,1990,22,11430602
Illinois,2000,21,12419293
Illinois,2010,20,12653544
Indiana,1990,12,5544159
Indiana,2000,11,6080485
Indiana,2010,11,6195643
Iowa,1990,7,2776755
Iowa,2000,7,2926324
Iowa,2010,6,2944062
Kansas,1990,6,2477574
Kansas,2000,6,2688418
Kansas,2010,6,2723507
Kentucky,1990,8,3685296
Kentucky,2000,8,4041769
Kentucky,2010,8,4117827
Louisiana,1990,9,4219973
Louisiana,2000,9,4468976
Louisiana,2010,8,4496334
Maine,1990,4,1227928
Maine,2000,4,1274923
Maine,2010,4,1305728
Maryland,1990,10,4781468
Maryland,2000,10,5296486
Maryland,2010,10,5508909
Massachusetts,1990,12,6016425
Massachusetts,2000,12,6349097
Massachusetts,2010,11,6433422
Michigan,1990,18,9295297
Michigan,2000,17,9938444
Michigan,2010,16,10079985
Minnesota,1990,10,4375099
Minnesota,2000,10,4919479
Minnesota,2010,10,5059375
Mississippi,1990,7,2573216
Mississippi,2000,6,2844658
Mississippi,2010,6,2881281
Missouri,1990,11,5117073
Missouri,2000,11,5595211
Missouri,2010,10,5704484
Montana,1990,3,799065
Montana,2000,3,902195
Montana,2010,3,917621
Nebraska,1990,5,1578385
Nebraska,2000,5,1711263
Nebraska,2010,5,1739291
Nevada,1990,4,1201833
Nevada,2000,5,1998257
Nevada,2010,6,2241154
New Hampshire,1990,4,1109252
New Hampshire,2000,4,1235786
New Hampshire,2010,4,1287687
New Jersey,1990,15,7730188
New Jersey,2000,15,8414350
New Jersey,2010,14,8638396
New Mexico,1990,5,1515069
New Mexico,2000,5,1819046
New Mexico,2010,5,1874614
New York,1990,33,17990455
New York,2000,31,18976457
New York,2010,29,19190115
North Carolina,1990,14,6628637
North Carolina,2000,15,8049313
North Carolina,2010,15,8407248
North Dakota,1990,3,638800
North Dakota,2000,3,642200
North Dakota,2010,3,633837
Ohio,1990,21,10847115
Ohio,2000,20,11353140
Ohio,2010,18,11435798
Oklahoma,1990,8,3145585
Oklahoma,2000,7,3450654
Oklahoma,2010,7,3511532
Oregon,1990,7,2842321
Oregon,2000,7,3421399
Oregon,2010,7,3559596
Pennsylvania,1990,23,11881643
Pennsylvania,2000,21,12281054
Pennsylvania,2010,20,12365455
Rhode Island,1990,4,1003464
Rhode Island,2000,4,1048319
Rhode Island,2010,4,1076164
South Carolina,1990,8,3486703
South Carolina,2000,8,4012012
South Carolina,2010,9,4147152
South Dakota,1990,3,696004
South Dakota,2000,3,754844
South Dakota,2010,3,764309
Tennessee,1990,11,4877185
Tennessee,2000,11,5689283
Tennessee,2010,11,5841748
Texas,1990,32,16986510
Texas,2000,34,20851820
Texas,2010,38,22118509
Utah,1990,5,1722850
Utah,2000,5,2233169
Utah,2010,6,2351467
Vermont,1990,3,562758
Vermont,2000,3,608827
Vermont,2010,3,619107
Virginia,1990,13,6187358
Virginia,2000,13,7078515
Virginia,2010,13,7386330
Washington,1990,11,4866692
Washington,2000,11,5894121
Washington,2010,12,6131445
West Virginia,1990,5,1793477
West Virginia,2000,5,1808344
West Virginia,2010,5,1810354
Wisconsin,1990,11,4891769
Wisconsin,2000,10,5363675
Wisconsin,2010,10,5472299
Wyoming,1990,3,453588
Wyoming,2000,3,493782
Wyoming,2010,3,501242
